ID,MOS
1001,3.308821483530055
1002,3.3353411707012968
1003,2.952939123283707
1004,4.292699007573746
1005,2.246190173453564
1006,2.3311700327491267
1007,3.000221294480192
1008,2.0348319049586987
1009,3.3410430024807805
1010,3.7880323368602813
1011,4.131865884802249
1012,3.484246366761571
1013,2.3697106572979245
1014,2.011240621271939
1015,2.0431358292318613
1016,2.36657414213858
1017,2.379793118197081
1018,2.5667229466856067
1019,4.022502352076878
1020,3.837744124729892
1021,2.296149666011234
1022,4.017269061585069
1023,3.554978406305562
1024,3.619549183317142
1025,3.1314429555768544
1026,2.542138529223405
1027,2.8997700353783658
1028,3.6447438095797957
1029,3.596932957835106
1030,3.101257497910855
1031,2.2426485877472313
1032,4.294389889274151
1033,3.731659972147842
1034,3.6557627953516874
1035,3.2182377228268133
1036,3.4779915857517847
1037,1.980789131408131
1038,3.9750857979600296
1039,3.785679478642419
1040,3.2516242839866902
1041,2.7698779938070026
1042,3.7119857552798656
1043,3.4625133015366796
1044,2.6891786601265966
1045,2.4942905286622903
1046,2.7269339532758696
1047,3.2236311698671996
1048,2.928933480440356
1049,2.6762654719990513
1050,3.124712489265845
1051,3.85875520186083
1052,1.9982112969966566
1053,3.2814339697870087
1054,3.088447477883919
1055,3.0733924584900283
1056,2.237008619448895
1057,2.377384633289849
1058,2.613603757748318
1059,3.1048510304960786
1060,2.9839118942258893
1061,3.6833422311044712
1062,3.6677734554125743
1063,2.2874263046327936
1064,3.1070997426591753
1065,1.9607387327202854
1066,2.2389347348731254
1067,3.3109942853996133
1068,3.284047970948407
1069,1.754078532550221
1070,2.3004461150039157
1071,2.0545001557951754
1072,3.7850349038556357
1073,2.0451917232975165
1074,3.5094971403446853
1075,1.952610929020903
1076,3.232662489887424
1077,3.1756506085536813
1078,2.6885101111678127
1079,3.4249287128421515
1080,3.3460639258926492
1081,1.945486851278137
1082,3.4888199968977425
1083,2.26340272586735
1084,2.45428364836241
1085,1.9804106856472246
1086,2.333937396621479
1087,3.356090246014231
1088,3.3494329210073888
1089,3.204753104251938
1090,1.9863573648438244
1091,2.5940599142011433
1092,3.900883454153442
1093,2.78769457205958
1094,2.3938045102738745
1095,2.1629453297660346
1096,3.3670792978028357
1097,2.2728157406724487
1098,2.0247043456269007
1099,3.0400893323639893
1100,3.1387672635221167
